Date,Category,Description,Amount
2026-04-01,Food,Groceries,65.50
2026-04-02,Transport,Bus Fare,4.80
2026-04-03,Entertainment,Movie Ticket,22.00
2026-04-04,Rent,Weekly Rent,250.00
2026-04-05,Food,Coffee,6.50
2026-04-06,Utilities,Phone Bill,35.00
2026-04-07,Food,Lunch,18.90
2026-04-08,Transport,Train Fare,5.20
2026-04-09,Shopping,Clothing,89.99
2026-04-10,Entertainment,Streaming Subscription,16.99
2026-04-11,Food,Dinner,32.40
2026-04-12,Health,Pharmacy,24.50
2026-04-13,Transport,Fuel,72.30
2026-04-14,Education,Textbook,58.00
2026-04-15,Food,Groceries,74.25
2026-04-16,Utilities,Electricity Bill,96.80
2026-04-17,Shopping,Personal Care,27.60
2026-04-18,Entertainment,Concert Ticket,110.00
2026-04-19,Food,Takeaway,21.75
2026-04-20,Transport,Parking,12.00
2026-04-21,Rent,Weekly Rent,250.00
2026-04-22,Health,Gym Membership,45.00
2026-04-23,Food,Coffee,7.20
2026-04-24,Shopping,Shoes,120.00
2026-04-25,Entertainment,Games,35.00
